Dataset  : Egohumans_full-TRAIN
Timestamp: 2026-05-18_20-04
Checkpoint: models/egohumans_full/checkpoint_epoch_50.pth

                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
tagging_001_tagging_aria01_rgb-None            22.0%  22.5%  21.5%  94.6%  99.1%   3   3  0  0  13  84  32   24  91.6% 0.098   4  28   0
tagging_001_tagging_aria02_rgb-None            42.4%  42.4%  42.4%  98.3%  98.5%   3   3  0  0  23  25  21   12  95.4% 0.090   2  19   0
tagging_001_tagging_aria03_rgb-None            34.6%  34.7%  34.4%  98.3%  99.1%   3   3  0  0   8  16  23   10  94.9% 0.106   1  22   0
tagging_001_tagging_aria04_rgb-None            33.2%  33.4%  33.0%  98.1%  99.1%   3   3  0  0  12  26  19   17  95.9% 0.116   1  18   0
tagging_002_tagging_aria01_rgb-None            52.8%  53.2%  52.3%  97.9%  99.6%   3   3  0  0   1   6   8    2  94.7% 0.084   0   8   0
tagging_002_tagging_aria02_rgb-None            77.5%  77.8%  77.2%  98.3%  99.2%   3   3  0  0   5  10   4    3  96.8% 0.086   0   4   0
tagging_002_tagging_aria03_rgb-None            84.0%  83.9%  84.1%  99.5%  99.3%   3   3  0  0   3   2   5    1  97.7% 0.112   0   5   0
tagging_002_tagging_aria04_rgb-None            76.1%  76.8%  75.3%  95.4%  97.4%   3   3  0  0  16  29   4    7  92.3% 0.096   0   4   0
tagging_003_tagging_aria01_rgb-None            47.5%  48.5%  46.6%  95.1%  99.0%   3   3  0  0   8  39  10    7  92.9% 0.086   0  10   0
tagging_003_tagging_aria02_rgb-None            46.7%  47.1%  46.3%  98.4% 100.0%   3   3  0  0   0  11  17    8  95.8% 0.062   0  17   0
tagging_003_tagging_aria03_rgb-None            82.3%  82.8%  81.8%  97.4%  98.6%   3   3  0  0  11  20   5    7  95.4% 0.099   0   5   0
tagging_003_tagging_aria04_rgb-None            49.5%  49.8%  49.2%  95.9%  97.1%   3   3  0  0  14  20  10    7  90.9% 0.084   0  10   0
tagging_004_tagging_aria01_rgb-None            65.4%  65.5%  65.3%  97.8%  98.1%   3   3  0  0   6   7   8    3  93.5% 0.087   1   7   0
tagging_004_tagging_aria02_rgb-None            52.3%  52.3%  52.3%  99.2%  99.2%   3   3  0  0   2   2   6    2  95.8% 0.063   0   6   0
tagging_004_tagging_aria03_rgb-None            61.4%  62.5%  60.4%  96.5% 100.0%   3   3  0  0   0   9   8    4  93.5% 0.127   1   8   1
