Dataset  : Egohumans_full-TRAIN
Timestamp: 2026-05-18_18-57
Checkpoint: models/egohumans_full/checkpoint_epoch_50.pth

                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
tagging_001_tagging_aria01_rgb-None            22.0%  22.5%  21.5%  94.5%  99.1%   3   3  0  0  13  85  30   24  91.7% 0.098   5  25   0
tagging_001_tagging_aria02_rgb-None            44.9%  44.9%  44.9%  98.3%  98.3%   3   3  0  0  25  25  17   12  95.5% 0.090   2  15   0
tagging_001_tagging_aria03_rgb-None            34.5%  34.7%  34.4%  98.5%  99.1%   3   3  0  0   8  14  21   11  95.3% 0.107   1  20   0
tagging_001_tagging_aria04_rgb-None            42.9%  43.0%  42.7%  98.2%  98.9%   3   3  0  0  15  25  14   16  96.1% 0.116   1  13   0
tagging_002_tagging_aria01_rgb-None            52.9%  53.4%  52.3%  97.5%  99.6%   3   3  0  0   1   7   7    3  94.7% 0.084   0   7   0
tagging_002_tagging_aria02_rgb-None            77.5%  77.8%  77.2%  98.3%  99.2%   3   3  0  0   5  10   4    3  96.8% 0.086   0   4   0
tagging_002_tagging_aria03_rgb-None            84.0%  83.9%  84.1%  99.5%  99.3%   3   3  0  0   3   2   5    1  97.7% 0.112   0   5   0
tagging_002_tagging_aria04_rgb-None            82.7%  83.6%  81.9%  95.4%  97.4%   3   3  0  0  16  29   3    7  92.4% 0.096   0   3   0
tagging_003_tagging_aria01_rgb-None            48.2%  49.2%  47.2%  95.1%  99.0%   3   3  0  0   8  39   8    7  93.1% 0.086   0   8   0
tagging_003_tagging_aria02_rgb-None            46.7%  47.0%  46.3%  98.4%  99.8%   3   3  0  0   1  11  14    8  96.1% 0.062   0  14   0
tagging_003_tagging_aria03_rgb-None            87.4%  87.9%  86.9%  97.4%  98.6%   3   3  0  0  11  20   4    7  95.5% 0.099   0   4   0
tagging_003_tagging_aria04_rgb-None            53.4%  53.7%  53.1%  96.1%  97.1%   3   3  0  0  14  19   9    7  91.3% 0.084   0   9   0
tagging_004_tagging_aria01_rgb-None            74.5%  74.4%  74.6%  98.5%  98.1%   3   3  0  0   6   5   5    3  95.0% 0.088   1   4   0
tagging_004_tagging_aria02_rgb-None            64.8%  64.7%  65.0%  99.6%  99.2%   3   3  0  0   2   1   5    1  96.6% 0.064   0   5   0
tagging_004_tagging_aria03_rgb-None            63.0%  63.8%  62.3%  97.7% 100.0%   3   3  0  0   0   6   6    4  95.4% 0.128   1   6   1
tagging_004_tagging_aria04_rgb-None            74.9%  77.4%  72.5%  89.6%  95.7%   3   2  1  0   9  23   6    6  82.9% 0.104   1   5   0
tagging_005_tagging_aria01_rgb-None            30.8%  31.0%  30.6%  97.1%  98.5%   3   3  0  0  16  30  17   15  94.0% 0.086   3  14   0
tagging_005_tagging_aria02_rgb-None            57.5%  57.7%  57.2%  98.4%  99.2%   3   3  0  0   7  13   9    7  96.5% 0.075   0   9   0
tagging_005_tagging_aria03_rgb-None            37.5%  38.0%  37.0%  96.2%  98.6%   3   3  0  0  11  31  14   13  93.2% 0.094   1  13   0
tagging_005_tagging_aria04_rgb-None            44.5%  45.2%  43.7%  95.9%  99.2%   3   3  0  0   9  47  16   13  93.8% 0.098   4  12   0
tagging_006_tagging_aria01_rgb-None            59.8%  59.9%  59.8%  99.2%  99.5%   3   3  0  0   3   5   7    4  97.7% 0.061   0   7   0
tagging_006_tagging_aria02_rgb-None            91.2%  91.8%  90.5%  98.1%  99.5%   3   3  0  0   5  20   6    8  97.1% 0.081   1   5   0
