Dataset  : Egohumans_full-TRAIN
Timestamp: 2026-05-18_21-20
Checkpoint: models/egohumans_full/checkpoint_best_IDF1.pth

                                                IDF1    IDP    IDR   Rcll   Prcn  GT  MT PT ML   FP   FN IDs   FM   MOTA  MOTP IDt IDa IDm
tagging_001_tagging_aria01_rgb-None            23.9%  25.5%  22.4%  86.6%  98.5%   3   3  0  0   21  206  29   33  83.4% 0.097   6  23   0
tagging_001_tagging_aria02_rgb-None            44.1%  44.3%  44.0%  96.4%  97.0%   3   3  0  0   45   54  21   22  92.0% 0.103   3  18   0
tagging_001_tagging_aria03_rgb-None            36.9%  37.3%  36.5%  96.1%  98.2%   3   3  0  0   16   36  22   15  91.9% 0.117   2  20   0
tagging_001_tagging_aria04_rgb-None            38.9%  39.6%  38.2%  94.7%  98.3%   3   3  0  0   23   73  15   25  92.0% 0.122   2  13   0
tagging_002_tagging_aria01_rgb-None            52.9%  53.2%  52.7%  97.5%  98.6%   3   3  0  0    4    7   7    3  93.6% 0.094   0   7   0
tagging_002_tagging_aria02_rgb-None            63.8%  65.4%  62.2%  93.7%  98.6%   3   3  0  0    8   38  10   10  90.7% 0.093   3   6   0
tagging_002_tagging_aria03_rgb-None            83.4%  83.6%  83.2%  98.4%  98.8%   3   3  0  0    5    7   5    5  96.1% 0.124   0   5   0
tagging_002_tagging_aria04_rgb-None            83.3%  85.5%  81.1%  92.6%  97.7%   3   3  0  0   14   47   3    9  89.9% 0.103   0   3   0
tagging_003_tagging_aria01_rgb-None            48.0%  50.0%  46.2%  91.6%  99.1%   3   3  0  0    7   67   9   14  89.6% 0.099   1   8   0
tagging_003_tagging_aria02_rgb-None            48.5%  49.5%  47.5%  95.2%  99.1%   3   3  0  0    6   32  15   13  92.1% 0.070   1  14   0
tagging_003_tagging_aria03_rgb-None            78.2%  79.9%  76.7%  94.7%  98.7%   3   3  0  0   10   41   6    8  92.7% 0.109   0   6   0
tagging_003_tagging_aria04_rgb-None            49.4%  50.4%  48.3%  92.8%  96.8%   3   3  0  0   15   35  11    9  87.4% 0.088   0  11   0
tagging_004_tagging_aria01_rgb-None            59.5%  60.6%  58.5%  94.4%  97.8%   3   3  0  0    7   18   7    7  90.1% 0.093   1   6   0
tagging_004_tagging_aria02_rgb-None            64.6%  64.6%  64.6%  99.2%  99.2%   3   3  0  0    2    2   5    2  96.2% 0.076   0   5   0
