Dataset  : Egohumans-ALL
Timestamp: 2026-05-11_12-29
Checkpoint: models/egohumans_full/checkpoint_epoch_50.pth

                                                IDF1    IDP    IDR   Rcll   Prcn GT MT PT ML  FP  FN IDs   FM   MOTA  MOTP IDt IDa IDm
fencing_004_fencing_aria01_rgb-None            94.8%  94.8%  94.8%  99.6%  99.6%  2  2  0  0   2   2   1    1  99.0% 0.054   0   1   0
fencing_004_fencing_aria02_rgb-None           100.0% 100.0% 100.0% 100.0% 100.0%  2  2  0  0   0   0   0    0 100.0% 0.050   0   0   0
fencing_004_fencing_aria03_rgb-None            83.9%  84.1%  83.8%  99.7% 100.0%  2  2  0  0   0   2   3    1  99.2% 0.090   0   3   0
legoassemble_002_legoassemble_aria01_rgb-None  36.3%  37.0%  35.5%  92.7%  96.6%  2  2  0  0  24  54   9    6  88.3% 0.164   0   9   0
legoassemble_002_legoassemble_aria02_rgb-None  60.8%  60.8%  60.9%  91.5%  91.4%  2  2  0  0  55  54   6    6  82.0% 0.148   0   6   0
legoassemble_002_legoassemble_aria03_rgb-None  41.9%  47.3%  37.5%  76.0%  95.7%  2  1  1  0  19 133   6    8  71.5% 0.172   0   6   0
tagging_004_tagging_aria01_rgb-None            74.5%  74.4%  74.6%  98.5%  98.1%  3  3  0  0   6   5   5    3  95.0% 0.088   1   4   0
tagging_004_tagging_aria02_rgb-None            64.8%  64.7%  65.0%  99.6%  99.2%  3  3  0  0   2   1   5    1  96.6% 0.064   0   5   0
tagging_004_tagging_aria03_rgb-None            63.0%  63.8%  62.3%  97.7% 100.0%  3  3  0  0   0   6   6    4  95.4% 0.128   1   6   1
tagging_004_tagging_aria04_rgb-None            74.9%  77.4%  72.5%  89.6%  95.7%  3  2  1  0   9  23   6    6  82.9% 0.104   1   5   0
fencing_013_fencing_aria01_rgb-None            66.5%  50.0%  99.3%  99.3%  50.0%  1  1  0  0 299   2   0    1   0.0% 0.108   0   0   0
fencing_013_fencing_aria03_rgb-None            64.7%  48.6%  96.5%  99.4%  50.1%  1  1  0  0 308   2   2    1  -0.3% 0.081   0   2   0
legoassemble_005_legoassemble_aria01_rgb-None  66.0%  67.1%  65.0%  95.4%  98.4%  2  2  0  0  11  33  12    9  92.1% 0.110   3   8   0
legoassemble_005_legoassemble_aria03_rgb-None  54.9%  56.5%  53.4%  92.2%  97.6%  2  2  0  0  13  45   6    3  88.9% 0.098   0   6   0
tagging_008_tagging_aria01_rgb-None            52.3%  51.8%  52.8%  96.3%  94.5%  2  2  0  0  17  11   7    6  88.4% 0.104   0   7   0
tagging_008_tagging_aria03_rgb-None            62.0%  61.4%  62.7% 100.0%  98.0%  2  2  0  0   3   0   3    0  96.0% 0.112   0   3   0
tagging_008_tagging_aria04_rgb-None            50.1%  49.7%  50.4%  94.4%  93.1%  2  2  0  0  25  20   8    7  85.1% 0.092   0   8   0
fencing_014_fencing_aria03_rgb-None            99.8% 100.0%  99.7%  99.7% 100.0%  1  1  0  0   0   1   0    1  99.7% 0.035   0   0   0
legoassemble_006_legoassemble_aria01_rgb-None  73.5%  70.3%  76.9%  98.1%  89.6%  2  2  0  0  35   6   4    3  85.4% 0.152   0   4   0
legoassemble_006_legoassemble_aria02_rgb-None  84.6%  89.4%  80.3%  86.7%  96.5%  2  1  1  0  15  64   3    9  83.0% 0.187   0   3   0
legoassemble_006_legoassemble_aria03_rgb-None  49.5%  51.2%  47.9%  88.3%  94.3%  2  1  1  0  19  42   7    7  81.1% 0.178   2   5   0
tagging_013_tagging_aria01_rgb-None            93.2%  93.2%  93.2%  99.1%  99.1%  3  3  0  0   4   4   1    3  98.0% 0.083   0   1   0
tagging_013_tagging_aria02_rgb-None            65.1%  66.3%  63.9%  95.6%  99.3%  3  3  0  0   3  19   7    6  93.3% 0.087   0   7   0
tagging_013_tagging_aria03_rgb-None            86.9%  87.4%  86.3%  97.4%  98.7%  3  3  0  0   3   6   2    5  95.3% 0.096   0   2   0
tagging_013_tagging_aria04_rgb-None            88.0%  89.4%  86.7%  96.2%  99.2%  3  3  0  0   4  19   4    5  94.6% 0.097   0   4   0
OVERALL                                        68.9%  67.8%  70.0%  94.6%  91.7% 55 51  4  0 876 554 113  102  84.9% 0.110   8 105   1
