Dataset  : Egohumans-TRAIN
Timestamp: 2026-04-22_15-41
Checkpoint: models/mot20_crowdhuman_deformable_multi_frame/checkpoint_epoch_50.pth

                                               IDF1   IDP   IDR  Rcll  Prcn GT MT PT ML   FP  FN IDs  FM  MOTA  MOTP IDt IDa IDm
fencing_004_fencing_aria01_rgb-None           72.2% 65.1% 80.9% 96.0% 77.2%  2  2  0  0  147  21   4   5 66.9% 0.187   0   3   0
fencing_004_fencing_aria02_rgb-None           69.3% 53.3% 99.0% 99.0% 53.3%  2  1  1  0  272   3   0   1 12.4% 0.195   0   0   0
fencing_004_fencing_aria03_rgb-None           65.1% 53.2% 84.0% 95.6% 60.5%  2  2  0  0  369  26   3   6 32.8% 0.252   1   2   0
legoassemble_002_legoassemble_aria01_rgb-None 39.1% 38.7% 39.6% 77.9% 76.2%  2  1  1  0  181 164   7  22 52.6% 0.275   0   7   0
legoassemble_002_legoassemble_aria02_rgb-None 44.9% 38.4% 54.0% 86.2% 61.3%  2  1  1  0  348  88   6   9 30.8% 0.209   1   5   0
legoassemble_002_legoassemble_aria03_rgb-None 31.7% 26.7% 39.0% 68.6% 47.0%  2  0  2  0  429 174   3   9 -9.4% 0.263   0   3   0
tagging_004_tagging_aria01_rgb-None           60.1% 57.5% 62.8% 94.4% 86.4%  3  3  0  0   48  18   8   8 77.1% 0.237   0   8   0
tagging_004_tagging_aria02_rgb-None           60.9% 58.0% 64.1% 97.0% 87.8%  3  3  0  0   32   7   5   4 81.4% 0.207   0   5   0
tagging_004_tagging_aria03_rgb-None           69.6% 66.1% 73.5% 93.1% 83.7%  3  3  0  0   47  18  10   8 71.2% 0.236   1   9   0
tagging_004_tagging_aria04_rgb-None           56.8% 50.2% 65.3% 78.4% 60.2%  3  1  2  0  115  48   5   7 24.3% 0.233   0   5   0
OVERALL                                       54.2% 47.6% 63.0% 87.1% 65.9% 24 17  7  0 1988 567  51  79 40.8% 0.232   3  47   0
